Job,threads,ns/op
BenchmarkGonomicsIntervalOverlap1k_100kLines_1threads-29,1,1.16531E+11
BenchmarkGonomicsIntervalOverlap1k_100kLines_1threads-29,1,1.14182E+11
BenchmarkGonomicsIntervalOverlap1k_100kLines_1threads-29,1,1.11361E+11
BenchmarkGonomicsIntervalOverlap1k_100kLines_2threads-29,2,93714430133
BenchmarkGonomicsIntervalOverlap1k_100kLines_2threads-29,2,94353344827
BenchmarkGonomicsIntervalOverlap1k_100kLines_2threads-29,2,91867905301
BenchmarkGonomicsIntervalOverlap1k_100kLines_3threads-29,3,81950549208
BenchmarkGonomicsIntervalOverlap1k_100kLines_3threads-29,3,84156601943
BenchmarkGonomicsIntervalOverlap1k_100kLines_3threads-29,3,84066607783
BenchmarkGonomicsIntervalOverlap1k_100kLines_4threads-29,4,79072717731
BenchmarkGonomicsIntervalOverlap1k_100kLines_4threads-29,4,78176931842
BenchmarkGonomicsIntervalOverlap1k_100kLines_4threads-29,4,78228634739
BenchmarkGonomicsIntervalOverlap1k_100kLines_5threads-29,5,75996958865
BenchmarkGonomicsIntervalOverlap1k_100kLines_5threads-29,5,77307026217
BenchmarkGonomicsIntervalOverlap1k_100kLines_5threads-29,5,76317413011
BenchmarkGonomicsIntervalOverlap1k_100kLines_6threads-29,6,74562080985
BenchmarkGonomicsIntervalOverlap1k_100kLines_6threads-29,6,75237863602
BenchmarkGonomicsIntervalOverlap1k_100kLines_6threads-29,6,77420911770
BenchmarkGonomicsIntervalOverlap1k_100kLines_7threads-29,7,74950097770
BenchmarkGonomicsIntervalOverlap1k_100kLines_7threads-29,7,76461209746
BenchmarkGonomicsIntervalOverlap1k_100kLines_7threads-29,7,73545985927
BenchmarkGonomicsIntervalOverlap1k_100kLines_8threads-29,8,78094624157
BenchmarkGonomicsIntervalOverlap1k_100kLines_8threads-29,8,76323612076
BenchmarkGonomicsIntervalOverlap1k_100kLines_8threads-29,8,75436293495
BenchmarkGonomicsIntervalOverlap1k_100kLines_9threads-29,9,72505263660
BenchmarkGonomicsIntervalOverlap1k_100kLines_9threads-29,9,78719853137
BenchmarkGonomicsIntervalOverlap1k_100kLines_9threads-29,9,73171113401
BenchmarkGonomicsIntervalOverlap1k_100kLines_10threads-29,10,77557957129
BenchmarkGonomicsIntervalOverlap1k_100kLines_10threads-29,10,77117442238
BenchmarkGonomicsIntervalOverlap1k_100kLines_10threads-29,10,78834420181
BenchmarkGonomicsIntervalOverlap1k_100kLines_11threads-29,11,77310341211
BenchmarkGonomicsIntervalOverlap1k_100kLines_11threads-29,11,77111469233
BenchmarkGonomicsIntervalOverlap1k_100kLines_11threads-29,11,75537269206
BenchmarkGonomicsIntervalOverlap1k_100kLines_12threads-29,12,79066965771
BenchmarkGonomicsIntervalOverlap1k_100kLines_12threads-29,12,78482903639
BenchmarkGonomicsIntervalOverlap1k_100kLines_12threads-29,12,76987173376
BenchmarkGonomicsIntervalOverlap1k_100kLines_13threads-29,13,79667822243
BenchmarkGonomicsIntervalOverlap1k_100kLines_13threads-29,13,75597463141
BenchmarkGonomicsIntervalOverlap1k_100kLines_13threads-29,13,78052656274
BenchmarkGonomicsIntervalOverlap1k_100kLines_14threads-29,14,78803566988
BenchmarkGonomicsIntervalOverlap1k_100kLines_14threads-29,14,79428154086
BenchmarkGonomicsIntervalOverlap1k_100kLines_14threads-29,14,82113577117
BenchmarkGonomicsIntervalOverlap1k_100kLines_15threads-29,15,78708473709
BenchmarkGonomicsIntervalOverlap1k_100kLines_15threads-29,15,78022344810
BenchmarkGonomicsIntervalOverlap1k_100kLines_15threads-29,15,76521537925
BenchmarkGonomicsIntervalOverlap1k_100kLines_16threads-29,16,75313813279
BenchmarkGonomicsIntervalOverlap1k_100kLines_16threads-29,16,73861250472
BenchmarkGonomicsIntervalOverlap1k_100kLines_16threads-29,16,78809055109
BenchmarkGonomicsIntervalOverlap1k_100kLines_17threads-29,17,78203783688
BenchmarkGonomicsIntervalOverlap1k_100kLines_17threads-29,17,80961982043
BenchmarkGonomicsIntervalOverlap1k_100kLines_17threads-29,17,79460577867
BenchmarkGonomicsIntervalOverlap1k_100kLines_18threads-29,18,82081210102
BenchmarkGonomicsIntervalOverlap1k_100kLines_18threads-29,18,78521026615
BenchmarkGonomicsIntervalOverlap1k_100kLines_18threads-29,18,80825035357
BenchmarkGonomicsIntervalOverlap1k_100kLines_19threads-29,19,77628662801
BenchmarkGonomicsIntervalOverlap1k_100kLines_19threads-29,19,80240856040
BenchmarkGonomicsIntervalOverlap1k_100kLines_19threads-29,19,80825513607
BenchmarkGonomicsIntervalOverlap1k_100kLines_20threads-29,20,80032954634
BenchmarkGonomicsIntervalOverlap1k_100kLines_20threads-29,20,79705327093
BenchmarkGonomicsIntervalOverlap1k_100kLines_20threads-29,20,77212119912
BenchmarkGonomicsIntervalOverlap1k_100kLines_21threads-29,21,83116550633
BenchmarkGonomicsIntervalOverlap1k_100kLines_21threads-29,21,80896913566
BenchmarkGonomicsIntervalOverlap1k_100kLines_21threads-29,21,76860017812
BenchmarkGonomicsIntervalOverlap1k_100kLines_22threads-29,22,79372282802
BenchmarkGonomicsIntervalOverlap1k_100kLines_22threads-29,22,79223050394
BenchmarkGonomicsIntervalOverlap1k_100kLines_22threads-29,22,78571006228
BenchmarkGonomicsIntervalOverlap1k_100kLines_23threads-29,23,80768974618
BenchmarkGonomicsIntervalOverlap1k_100kLines_23threads-29,23,81686619911
BenchmarkGonomicsIntervalOverlap1k_100kLines_23threads-29,23,82897946598
BenchmarkGonomicsIntervalOverlap1k_100kLines_24threads-29,24,81761851445
BenchmarkGonomicsIntervalOverlap1k_100kLines_24threads-29,24,81836873871
BenchmarkGonomicsIntervalOverlap1k_100kLines_24threads-29,24,78003563957
